d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
1,9,12,16,19,20,25,29,44,45,49,56,60,63,64,67,68,69,75,76
3,4,8,9,17,22,28,43,44,45,47,49,51,57,63,66,71,72,79,80
3,9,13,21,23,25,26,28,30,32,38,46,48,49,54,64,67,71,73,77
4,12,15,17,19,23,26,29,37,41,48,55,56,60,62,72,75,77,78,79
2,9,12,17,22,24,26,29,37,38,41,45,46,53,58,62,66,67,74,77
5,8,10,12,13,14,16,18,22,26,34,36,38,43,45,54,63,71,77,79
5,9,11,12,16,38,45,47,56,59,60,61,63,64,65,67,68,72,74,79
2,6,11,22,30,31,32,34,37,38,50,53,59,62,66,67,70,72,73,75
6,8,10,14,17,18,19,23,25,26,27,40,41,42,46,48,54,56,57,64
3,5,7,13,15,22,25,30,37,38,46,48,50,54,57,62,63,69,76,77
3,10,14,16,18,20,28,29,43,46,47,50,53,57,59,60,61,67,76,79
6,9,11,13,21,24,27,35,38,41,43,49,55,60,64,65,68,72,73,80
3,7,8,20,23,31,34,35,42,43,44,45,46,48,49,54,64,68,69,76
2,3,18,30,35,37,50,51,56,62,63,64,65,68,70,71,75,77,78,79
1,3,13,17,21,31,36,41,47,49,50,53,55,62,65,68,71,72,74,75
2,6,10,15,17,25,26,29,32,34,39,42,43,48,49,52,59,70,72,74
3,5,13,15,23,31,34,38,39,46,49,57,58,59,61,66,67,74,75,76
11,12,17,19,24,25,28,36,37,39,40,44,50,54,55,58,67,69,70,71
