d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
02,03,06,13,18,19,20,24,26,39,40,46,47,66,68,72,76,78,79,80
02,09,10,24,28,31,33,38,40,42,44,46,61,67,68,69,71,73,74,76
07,09,13,20,21,25,29,32,37,39,53,54,56,59,60,66,68,72,75,76
01,03,04,12,13,19,20,21,22,30,31,34,35,50,52,55,58,59,66,75
02,07,11,16,18,20,29,32,34,47,51,57,58,59,68,73,76,77,78,80
03,07,10,13,14,19,22,25,35,38,43,50,52,56,59,60,63,72,77,78
03,04,13,18,20,23,28,30,37,39,43,48,51,60,62,63,64,66,68,79
01,06,12,13,27,28,29,37,41,42,44,53,57,61,65,66,67,69,73,74
05,10,13,21,22,25,33,38,40,41,45,47,49,50,61,65,67,70,71,80
02,04,11,13,20,21,25,32,34,35,38,40,44,58,59,60,68,70,76,77
02,03,06,08,18,20,22,24,34,38,39,40,55,57,60,61,62,66,74,77
08,22,23,24,29,31,33,34,35,46,47,51,61,62,63,64,65,70,75,76
07,11,21,25,26,32,34,39,40,44,48,49,51,59,63,66,70,72,77,78
12,14,20,22,32,34,35,37,38,42,44,45,46,48,50,55,64,65,68,73
07,11,17,21,24,26,27,31,41,46,52,53,54,60,62,65,67,68,69,73
04,06,14,15,18,19,31,37,45,46,49,53,54,58,60,68,70,73,76,79
04,08,10,11,12,15,16,22,23,24,32,40,42,43,47,54,62,68,79,80
07,08,09,14,15,17,19,34,38,44,45,54,55,60,65,66,72,77,78,79
01,05,18,20,21,28,29,33,38,39,42,65,66,68,69,70,71,72,73,78
01,06,11,14,17,19,22,25,30,32,33,40,41,43,45,53,59,61,63,68
02,11,12,27,30,41,43,45,47,48,50,53,57,59,62,64,69,74,76,77
06,08,09,10,11,16,19,21,27,29,38,39,41,45,58,62,67,72,73,77
03,05,10,18,19,22,25,26,33,40,41,46,47,50,53,64,71,72,73,78
02,04,05,09,15,18,22,29,31,40,44,45,46,50,53,63,64,67,68,74
01,06,10,18,19,29,40,45,50,52,55,57,59,61,67,69,72,73,74,80
04,09,11,12,18,21,23,28,33,42,43,44,48,53,62,63,70,72,74,75
08,12,17,20,28,29,31,35,43,44,45,47,49,50,52,54,61,68,72,80
01,02,06,11,25,27,28,29,31,32,39,43,45,51,52,61,63,64,69,70
04,07,09,12,14,21,26,27,28,30,32,36,37,38,46,51,58,63,64,72
01,04,07,10,13,15,22,26,30,38,41,42,54,55,56,62,63,70,77,80
02,06,10,15,21,25,28,42,43,47,50,52,53,54,55,67,76,77,78,80
03,10,20,27,28,29,31,34,41,42,48,49,51,65,70,71,74,75,79,80
10,14,16,22,23,24,35,38,45,52,55,57,60,61,62,65,66,73,76,78
03,08,13,18,23,27,28,29,30,33,36,37,43,49,57,59,66,68,69,79
04,05,10,14,15,18,22,30,40,42,51,54,58,59,60,63,64,73,75,76
02,04,05,09,11,15,27,30,31,37,40,46,51,52,57,59,62,72,76,79
01,09,12,13,17,18,28,33,39,41,42,50,52,54,56,63,64,69,75,79
03,07,09,12,13,14,32,36,43,44,47,49,50,53,61,64,68,71,75,79
01,02,03,08,17,19,21,23,24,31,38,41,42,45,48,52,53,60,69,73
09,11,14,16,21,24,25,30,36,41,48,50,52,53,56,59,62,67,69,79
01,04,07,11,12,17,22,24,26,28,30,35,37,42,47,53,63,68,71,77
01,02,13,16,18,23,27,29,30,36,37,42,45,47,51,61,64,69,72,79
05,10,11,13,20,22,25,29,39,42,46,55,57,58,61,64,68,69,71,74
06,07,08,09,12,17,20,22,23,27,33,35,43,54,55,61,63,66,69,78
11,14,17,23,25,31,35,38,46,53,58,59,60,61,68,72,75,78,79,80
04,06,08,14,15,23,26,32,35,36,40,41,48,49,50,60,63,64,69,73
07,11,12,19,23,29,30,32,38,39,44,48,61,63,64,65,68,75,76,79
02,05,11,12,17,22,26,28,39,41,43,47,48,57,58,60,62,66,70,76
08,09,13,20,21,23,24,30,35,43,45,55,60,62,63,65,66,68,70,77
04,05,06,10,18,19,22,32,37,43,44,45,50,58,66,67,68,71,76,78
05,08,17,18,21,22,24,28,37,39,41,47,51,63,65,68,69,70,71,72
01,08,10,16,19,21,22,32,36,37,40,50,53,55,60,61,68,69,78,79
07,08,11,14,15,19,26,29,30,37,38,43,56,62,65,68,69,75,76,77
08,10,14,15,16,18,20,21,22,24,26,30,33,38,43,45,48,53,59,62
03,07,09,10,13,19,24,27,32,33,34,37,48,51,54,63,67,72,76,79
01,02,13,23,28,29,31,33,41,42,43,50,53,55,56,58,66,74,77,78
04,13,22,24,25,30,31,34,36,40,41,48,54,62,64,67,71,73,75,76
04,05,11,13,19,21,29,35,37,41,45,47,49,50,62,67,76,77,79,80
05,13,25,27,28,37,38,39,42,44,48,56,58,63,65,66,70,71,78,79
02,14,17,19,22,24,26,29,32,33,38,41,44,46,54,56,63,64,66,71
02,04,06,10,13,17,21,23,30,31,32,33,37,40,45,51,58,69,70,76
03,04,10,12,13,20,21,28,33,40,46,47,48,55,63,65,69,71,76,80
04,08,11,12,14,16,21,23,25,30,36,41,44,54,56,57,61,69,71,79
01,04,05,07,08,13,20,22,26,29,30,34,52,55,57,65,67,76,77,78
14,15,22,24,26,30,32,34,40,45,50,52,54,58,65,73,74,75,76,77
04,08,10,15,21,24,25,38,40,48,52,53,56,58,63,66,67,75,76,77
09,19,20,31,35,37,38,41,45,46,53,54,55,58,60,63,64,68,72,79
17,18,28,40,45,49,50,56,59,61,62,63,64,66,67,70,73,75,77,80
03,08,13,16,21,23,24,28,31,32,34,38,39,42,45,53,61,68,70,75
05,06,11,13,14,32,35,39,41,43,45,48,49,51,53,60,71,75,76,80
02,04,12,25,26,30,33,35,36,38,39,43,51,55,57,59,61,69,74,79
02,04,06,07,13,18,19,20,27,34,41,42,51,52,53,62,65,71,74,77
01,03,07,10,13,22,37,40,42,44,45,48,58,60,61,65,67,71,77,79
02,08,11,12,14,23,27,28,31,33,37,40,46,49,52,62,63,66,74,78
01,02,04,05,07,10,12,15,17,18,19,22,35,41,44,46,49,52,59,60
03,06,11,20,26,30,32,43,47,50,51,53,55,60,61,62,65,72,73,79
04,05,06,13,19,24,25,26,28,32,38,40,46,48,52,53,60,64,72,76
01,02,04,07,12,13,22,24,26,39,41,49,50,56,57,60,68,71,79,80
05,11,17,19,20,31,38,42,44,45,50,51,56,57,61,64,67,68,75,80
06,07,09,10,11,22,26,30,31,35,36,41,42,45,51,61,66,71,76,78
02,09,10,12,13,15,17,18,19,25,37,42,44,46,52,53,56,58,66,69
02,04,08,12,20,23,29,31,36,40,42,50,51,59,66,67,69,75,78,79
08,11,17,18,20,23,29,35,36,40,44,50,52,58,59,63,73,75,76,80
01,07,11,12,14,18,21,25,27,30,34,37,40,41,43,45,47,49,54,55
08,15,17,19,21,22,23,28,35,36,41,45,49,50,52,67,72,76,78,80
06,07,16,23,26,29,30,33,36,44,45,50,51,60,61,72,74,77,78,79
06,07,12,14,18,25,27,29,30,32,33,38,39,49,52,60,65,74,76,77
03,04,05,06,07,12,22,29,41,43,45,50,51,53,55,57,60,71,74,76
04,08,26,28,29,30,32,35,42,47,48,51,56,63,65,67,69,72,73,79
08,22,24,25,26,27,28,29,35,36,40,43,44,47,49,59,65,69,70,79
04,11,15,40,42,44,45,49,52,53,56,60,62,63,67,68,76,77,78,80
12,14,18,22,27,31,33,35,37,38,41,42,43,51,54,59,69,77,78,80
01,05,06,07,11,24,28,32,39,41,48,49,51,55,57,59,62,71,74,76
10,12,16,20,21,22,26,28,30,34,35,39,41,42,46,54,57,58,73,74
15,17,18,19,21,22,23,26,36,38,39,41,43,47,48,50,60,70,74,80
01,04,05,08,18,20,21,22,23,26,42,45,46,50,52,55,64,66,75,80
06,15,17,26,31,32,36,39,40,44,47,50,52,55,56,58,63,69,73,77
02,12,13,14,26,28,37,38,42,43,46,48,54,56,60,65,67,77,78,80
01,10,11,12,13,20,21,23,24,26,35,52,54,57,65,66,68,70,72,74
03,09,11,15,18,20,25,26,31,35,37,39,43,46,48,53,57,59,61,78
11,24,25,29,30,33,34,37,40,47,50,59,61,62,64,67,71,73,75,77
02,03,10,15,21,22,25,29,32,33,35,41,43,46,51,52,55,57,75,77
08,09,14,15,16,18,27,32,36,42,43,45,47,51,54,60,67,70,75,79
03,14,15,19,21,23,26,34,42,48,55,57,58,59,60,64,67,69,76,78
02,03,12,17,25,31,33,34,39,47,49,51,52,53,60,63,64,68,69,73
06,07,12,13,22,34,42,48,51,52,57,59,60,64,67,72,74,75,77,79
01,04,07,08,11,16,17,27,28,34,42,44,46,49,55,66,67,68,70,79
07,13,19,20,24,26,30,35,36,42,45,52,54,59,60,61,65,68,72,77
01,04,06,07,11,12,16,24,27,36,38,40,42,44,48,49,70,71,72,75
02,08,12,15,16,29,33,36,42,43,47,52,56,61,62,65,67,74,76,78
08,13,24,29,30,33,37,43,45,46,54,57,59,69,70,71,72,73,74,78
01,03,05,09,10,12,16,17,23,25,29,34,37,42,53,54,63,64,78,79
03,13,21,24,31,32,35,40,48,49,50,51,53,54,59,60,61,66,68,75
03,13,15,16,17,18,22,28,32,35,43,50,52,55,59,60,66,69,71,72
08,11,15,17,24,36,40,41,43,46,47,53,58,61,68,69,71,73,75,76
01,05,07,10,13,24,32,34,39,40,43,44,48,51,59,61,67,70,72,78
04,06,08,12,14,15,17,24,28,31,33,34,37,39,40,49,51,54,62,72
02,06,13,20,21,23,29,35,37,38,45,46,49,60,62,65,66,68,76,80
02,06,07,11,13,14,19,22,24,29,32,35,42,44,58,63,64,65,74,78
01,05,09,19,20,22,34,35,42,43,46,48,50,51,55,64,70,72,75,77
16,18,19,26,29,31,35,36,37,38,46,47,52,53,57,58,59,61,67,73
02,04,13,16,26,27,28,35,36,47,54,58,59,63,64,69,72,73,76,80
02,04,07,12,15,16,18,21,32,36,41,42,47,48,60,62,64,66,75,80
08,09,11,15,18,20,22,39,41,42,43,45,53,56,58,63,65,67,70,79
02,04,05,12,15,16,32,33,39,42,44,57,58,59,63,65,69,71,73,78
01,02,09,19,23,28,33,37,41,44,52,56,61,63,68,69,72,73,77,79
