d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
5,8,11,18,19,20,21,22,28,33,36,38,41,43,49,67,68,75,79,80
1,7,8,11,14,18,22,38,39,40,46,53,55,59,64,65,73,75,76,77
1,3,25,26,29,30,31,33,36,40,45,52,54,56,66,70,75,76,77,80
4,5,6,16,18,23,26,29,32,34,37,38,41,44,46,47,48,61,66,71
1,4,5,8,10,11,13,15,16,19,20,21,28,42,46,50,58,76,77,79
3,9,11,16,21,27,28,29,32,34,36,39,42,49,54,65,67,71,73,80
2,4,5,8,14,19,24,28,37,38,39,60,62,64,66,68,69,72,73,78
1,5,10,11,26,32,33,38,45,51,52,53,57,62,63,64,68,71,77,79
5,12,13,17,18,19,23,27,33,38,40,41,50,52,56,57,62,64,77,79
4,6,14,18,23,25,30,41,43,48,53,55,65,68,69,70,71,75,76,78
16,17,21,23,24,37,38,44,53,56,58,59,63,65,72,74,75,76,77,80
3,14,15,30,36,41,46,50,53,55,56,57,58,61,65,66,71,73,76,79
7,9,16,18,21,26,27,29,30,32,36,42,43,48,52,58,71,73,77,78
4,8,13,27,29,31,35,39,43,45,51,53,59,62,69,70,71,75,77,79
1,2,14,18,19,22,26,37,39,49,52,54,55,56,60,67,69,71,74,79
1,4,16,18,20,21,22,29,32,33,42,47,51,56,57,59,62,64,65,77
5,7,8,9,11,33,34,41,42,44,49,55,56,58,63,64,65,73,77,80
8,12,15,17,19,22,23,25,33,34,45,47,57,59,61,63,65,69,73,77
1,5,7,8,13,18,19,20,22,34,36,39,40,47,54,63,69,70,76,79
8,11,14,17,30,33,37,38,40,42,44,46,49,53,54,60,66,68,76,80
2,3,8,12,15,16,17,18,27,32,40,42,43,44,49,50,60,66,72,78
6,7,9,14,17,18,23,25,29,35,38,45,46,56,58,59,61,66,69,74
2,3,11,12,24,30,36,39,48,49,52,53,59,61,68,69,72,76,77,79
3,7,11,17,18,20,26,28,31,33,37,39,45,48,50,51,65,71,76,78
2,8,13,16,19,24,25,29,30,38,39,41,42,44,49,52,68,71,72,78
6,7,19,24,25,26,29,31,37,42,43,45,50,51,60,63,65,69,73,77
11,18,21,25,29,31,34,36,39,48,49,56,57,63,64,65,66,67,68,69
8,16,26,28,29,33,35,39,46,47,53,57,58,61,62,63,67,72,79,80
1,2,17,22,24,26,30,31,32,37,41,46,48,49,51,52,55,68,70,80
3,6,8,12,13,17,22,26,27,29,35,39,41,43,54,59,61,63,68,69
1,6,8,9,11,14,25,27,36,38,43,47,50,51,60,61,62,68,69,80
1,3,4,10,11,16,17,20,35,38,47,50,52,54,56,58,77,78,79,80
4,9,11,14,20,24,26,27,29,39,41,42,44,56,57,58,62,69,70,77
1,2,3,5,8,17,33,34,35,37,41,42,49,54,61,69,71,72,75,76
2,4,13,14,15,20,22,35,37,39,42,44,45,46,48,52,65,70,72,75
1,2,5,14,16,20,21,24,27,28,35,42,43,59,61,65,69,70,77,80
3,6,12,13,18,20,27,29,31,32,42,43,44,54,56,64,68,72,73,74
3,6,11,13,14,16,19,22,24,30,36,42,44,52,53,56,60,62,69,76
6,8,12,17,19,22,23,46,49,51,54,56,58,60,67,69,70,74,76,80
9,10,12,21,24,39,40,42,45,49,50,55,65,66,70,71,75,76,77,80
2,4,11,24,31,38,43,44,47,48,49,50,51,54,56,63,71,74,75,79
1,5,11,18,19,22,26,28,29,30,34,41,45,49,57,60,61,63,64,72
4,12,18,19,23,26,29,31,40,45,49,55,56,59,62,63,67,76,77,80
9,10,17,19,24,28,33,36,41,43,48,51,52,53,61,63,68,71,73,77
1,4,6,7,13,22,24,31,38,51,55,61,64,67,69,71,72,75,76,77
2,5,11,16,17,18,19,21,23,32,40,43,44,46,58,66,73,75,77,78
7,14,16,18,19,20,21,23,24,36,37,45,46,49,53,58,59,61,67,72
1,2,7,8,14,16,17,25,26,34,35,39,43,46,49,53,55,56,78,80
3,5,10,11,16,27,28,29,35,36,39,43,54,62,65,66,69,75,78,80
4,5,8,11,12,14,37,41,42,44,53,57,59,62,67,69,71,73,74,80
9,10,20,21,25,28,31,36,42,45,48,56,59,67,69,71,74,75,76,80
1,3,4,15,23,25,34,37,41,48,49,54,55,59,63,66,69,70,71,79
9,10,11,12,18,19,24,25,29,32,40,41,45,50,54,57,60,66,77,80
5,11,28,30,35,36,41,42,45,46,48,49,51,58,59,66,69,74,79,80
1,2,5,6,12,20,24,25,30,40,42,50,53,55,56,57,58,60,69,70
1,3,4,8,9,17,25,29,35,36,41,50,53,54,59,64,66,73,74,79
3,8,9,12,21,29,31,32,33,35,39,41,50,53,54,56,57,66,70,75
12,13,14,24,26,27,28,31,32,35,44,45,50,52,56,57,66,73,76,77
5,7,9,10,19,20,25,27,28,32,36,41,48,49,50,54,56,59,73,75
6,7,13,26,29,30,33,36,39,41,42,57,58,63,64,66,68,69,73,76
14,21,24,25,26,32,33,40,45,48,52,53,55,63,66,67,71,76,78,79
3,7,10,11,18,19,26,32,33,37,38,41,43,49,50,62,63,66,73,78
1,15,22,24,30,34,38,40,42,45,46,47,51,55,56,61,73,76,77,78
1,3,13,14,15,31,32,36,37,41,44,49,53,56,58,60,67,70,75,77
1,4,12,22,23,30,34,44,45,49,50,51,52,60,62,63,65,70,73,77
5,8,16,20,25,27,31,33,36,38,41,47,48,50,54,63,67,68,74,80
3,5,12,16,17,19,21,22,23,24,32,34,39,41,49,52,53,61,75,78
9,10,14,16,18,30,32,35,36,38,41,42,43,45,54,60,61,66,69,79
