d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
3,4,6,8,16,19,23,30,31,33,48,51,54,56,59,60,62,73,74,76
7,13,14,17,20,21,23,30,41,43,48,49,50,51,55,59,65,74,76,79
11,13,16,17,18,25,30,34,38,44,45,50,52,55,61,66,68,70,71,77
1,8,10,11,14,18,33,34,41,43,45,50,51,53,54,63,68,69,72,78
1,3,6,8,16,25,26,35,36,39,44,47,50,62,67,69,72,74,77,79
10,12,15,18,20,27,30,33,36,37,38,41,49,51,52,59,60,75,76,77
7,9,10,16,20,24,25,29,30,34,36,40,43,46,49,58,74,75,79,80
2,8,11,12,14,15,17,30,31,35,39,41,43,46,51,55,66,69,74,79
3,10,15,21,24,26,27,32,33,38,42,46,48,55,61,64,69,71,75,79
12,22,23,27,30,31,32,33,39,43,48,49,51,52,54,60,61,63,68,71
1,2,3,7,14,21,26,29,32,34,38,44,45,55,63,69,71,72,73,77
1,3,15,22,26,29,30,35,39,40,42,49,53,66,71,72,73,76,77,78
3,5,7,12,15,20,22,23,26,35,37,41,45,49,54,56,57,61,64,76
5,16,18,20,23,28,35,43,45,46,47,54,56,58,60,62,64,73,74,76
4,6,8,10,11,28,33,34,35,38,39,40,47,49,53,55,59,63,73,77
2,10,12,18,19,21,23,28,33,41,43,44,45,49,55,58,61,65,69,70
6,8,12,19,21,22,25,27,29,32,37,39,45,56,58,61,62,69,72,78
2,3,11,23,27,31,37,47,52,54,57,59,61,63,66,70,73,76,78,79
2,4,7,9,20,22,23,25,26,30,31,36,38,41,45,53,58,65,66,72
2,6,7,8,12,16,18,30,31,40,44,54,56,61,66,68,69,71,72,75
2,4,21,28,30,36,37,39,44,47,49,51,53,58,62,63,65,72,74,75
9,14,18,22,23,24,27,29,35,38,40,41,53,55,57,61,64,66,72,78
8,15,16,20,25,29,32,36,38,42,43,45,46,49,52,53,56,61,71,73
5,17,22,23,26,27,33,38,39,42,46,47,50,64,65,67,68,73,75,76
6,13,20,24,28,33,39,41,47,48,51,56,57,60,62,66,67,75,76,80
6,8,9,19,23,27,28,30,34,36,38,39,40,47,50,51,60,65,68,75
4,11,15,17,19,26,28,31,32,36,39,43,53,57,60,61,69,72,74,80
7,10,13,14,15,18,20,24,25,28,34,36,37,44,45,46,53,63,68,75
5,9,10,11,15,16,21,22,24,25,26,29,44,57,59,71,74,77,79,80
