MONTH,DAY,YR,HR,MIN,DRAW,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,PLUS
01,21,25,15,45,428913,02,04,05,10,11,16,17,19,25,30,33,38,40,46,52,54,59,60,75,80,3
01,21,25,15,40,428912,04,06,15,18,24,27,29,32,33,37,39,40,46,49,53,54,57,59,61,70,1
01,21,25,15,35,428911,01,06,09,12,17,20,22,32,34,36,37,56,57,58,59,60,64,72,74,79,3
01,21,25,15,30,428910,08,16,22,25,26,28,34,35,39,40,41,42,45,51,61,67,71,74,76,78,5
01,21,25,15,25,428909,05,06,08,12,16,17,26,38,39,45,46,47,50,53,55,67,70,75,78,80,3
01,21,25,15,20,428908,02,07,23,24,29,36,38,39,41,42,43,46,47,54,55,58,62,66,75,78,4
01,21,25,15,15,428907,12,19,23,26,33,37,42,45,49,50,51,52,57,61,62,63,66,71,78,80,3
01,21,25,15,10,428906,03,14,17,18,19,20,21,25,32,36,37,40,43,46,56,60,62,64,69,76,3
01,21,25,15,05,428905,01,06,09,14,23,33,34,38,39,42,43,45,58,61,63,69,70,72,77,78,1
01,21,25,15,00,428904,07,12,14,17,20,21,22,23,30,32,34,43,47,48,57,62,66,71,72,74,1
01,21,25,14,55,428903,02,03,18,20,23,35,36,38,41,46,47,48,55,57,60,62,70,73,74,77,1
01,21,25,14,50,428902,01,04,06,10,11,17,20,21,30,31,35,43,50,59,63,65,68,75,76,79,1
01,21,25,14,45,428901,12,15,17,22,23,26,36,40,42,43,47,59,62,67,68,69,70,76,79,80,3
01,21,25,14,40,428900,11,12,21,22,23,27,41,45,52,57,59,61,65,67,68,69,71,76,77,78,3
01,21,25,14,35,428899,05,07,10,11,14,15,17,18,19,23,33,36,37,55,58,64,66,67,68,73,4
01,21,25,14,30,428898,02,03,12,13,18,24,29,30,32,33,36,45,52,57,63,64,67,69,71,72,1
01,21,25,14,25,428897,03,04,06,12,16,17,18,22,32,40,45,46,49,54,59,61,62,66,70,80,1
01,21,25,14,20,428896,08,09,10,12,18,23,24,29,37,39,42,43,49,54,58,59,68,69,70,78,1
01,21,25,14,15,428895,01,04,05,07,16,22,24,27,30,31,33,35,39,49,50,56,63,69,75,79,3
01,21,25,14,10,428894,04,05,08,15,16,19,24,29,30,37,47,49,50,52,57,60,64,67,71,74,1
01,21,25,14,05,428893,02,08,10,11,16,21,23,24,25,30,31,33,42,43,48,51,53,59,63,77,1
01,21,25,14,00,428892,11,12,13,25,28,29,30,35,41,44,47,52,53,55,60,62,69,73,76,78,1
01,21,25,13,55,428891,01,02,06,10,17,18,21,22,23,24,29,33,35,39,43,48,59,61,70,79,1
01,21,25,13,50,428890,01,03,14,15,16,18,20,28,31,32,40,45,55,58,66,68,73,74,75,76,1
01,21,25,13,45,428889,04,06,09,12,13,14,18,20,21,22,28,29,35,40,41,52,56,66,69,77,1
01,21,25,13,40,428888,01,04,08,13,19,22,24,25,37,38,39,40,43,44,51,52,54,67,73,78,3
01,21,25,13,35,428887,01,04,10,14,22,24,25,29,35,37,43,51,57,60,63,67,71,72,75,80,4
01,21,25,13,30,428886,06,08,20,21,22,26,32,36,37,39,43,44,54,60,62,65,66,69,72,80,3
01,21,25,13,25,428885,02,11,12,13,15,17,20,21,31,41,45,47,49,53,60,64,66,69,73,75,1
01,21,25,13,20,428884,01,04,05,06,07,11,13,14,15,25,26,37,42,43,47,48,50,55,64,76,4
01,21,25,13,15,428883,04,07,09,11,12,14,20,21,22,28,32,33,40,42,43,47,66,75,76,78,3
01,21,25,13,10,428882,05,10,12,13,15,19,22,23,25,34,47,49,51,57,58,60,65,66,77,78,3
01,21,25,13,05,428881,01,07,22,23,25,28,29,30,31,37,41,47,50,54,55,58,66,67,73,75,4
01,21,25,13,00,428880,03,05,12,14,17,21,23,27,29,31,32,34,35,41,50,53,54,73,74,80,1
01,21,25,12,55,428879,02,04,05,07,15,21,23,24,25,29,41,44,45,55,61,64,68,72,77,79,1
01,21,25,12,50,428878,21,22,23,30,33,34,40,43,45,46,47,48,51,56,61,64,66,68,70,77,3
01,21,25,12,45,428877,02,07,13,14,29,30,34,37,39,42,44,48,52,56,59,66,68,72,78,79,1
01,21,25,12,40,428876,04,09,11,14,19,20,21,24,25,31,35,41,43,48,49,50,53,60,71,72,1
01,21,25,12,35,428875,15,16,19,21,22,24,37,43,46,47,51,55,57,62,65,66,67,69,75,76,3
01,21,25,12,30,428874,02,07,12,13,15,22,23,25,32,33,36,38,41,45,47,49,62,71,74,75,1
01,21,25,12,25,428873,01,06,09,18,23,27,30,34,37,41,43,51,52,53,54,59,66,70,72,79,1
01,21,25,12,20,428872,01,04,09,10,13,20,24,34,41,44,48,49,54,57,61,62,65,66,74,79,3
01,21,25,12,15,428871,04,10,12,19,21,26,27,31,37,40,41,43,44,45,48,61,63,71,75,77,1
01,21,25,12,10,428870,01,04,06,11,14,18,28,38,39,40,41,43,54,61,64,65,66,69,75,80,3
01,21,25,12,05,428869,07,10,11,12,15,19,20,23,26,31,46,58,60,61,64,70,72,75,77,78,3
